side,cluster,cluster_name,OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,OID_,GEOID10_1,STATEFP1_1,COUNTYFP_1,TRACTCE1_1,POP2010,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,OTHER,MULT_RACE,HISPANIC,MALES,FEMALES,AGE_UNDER5,AGE_5_17,AGE_18_21,AGE_22_29,AGE_30_39,AGE_40_49,AGE_50_64,AGE_65_UP,MED_AGE,MED_AGE_M,MED_AGE_F,POP_HH,POP_GQ_INS,POP_GQ_NON,HOUSEHOLDS,AVE_HH_SZ,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FAMILIES,AVE_FAM_SZ,HSE_UNITS,VACANT,OWNER_OCC,RENTER_OCC,GEOJOIN,TractOK,Geoid,Shape_Length,Shape_Area
South/Southwest,4,SW Chicago,35,17,31,300900,17031300900,3009,Census Tract 3009,G5020,S,327299,0,41.8481796,-87.7026993,369,17031300900,17,31,300900,5050,2153,99,71,2,0,2549,176,4876,2619,2431,513,1374,334,683,793,616,525,212,25.8,26.7,24.7,5038,0,12,1315,3.83,98,50,447,201,77,192,1084,4.11,1537,222,316,999,17031300900,300900,17031300900,7942.066106,3523075.801
South/Southwest,4,SW Chicago,36,17,31,301100,17031301100,3011,Census Tract 3011,G5020,S,212135,0,41.8470212,-87.6979662,370,17031301100,17,31,301100,2617,1165,124,31,9,1,1211,76,2369,1349,1268,280,642,184,371,400,326,262,152,26.8,27.2,26.3,2617,0,0,730,3.58,74,48,219,104,47,94,551,4.08,928,198,171,559,17031301100,301100,17031301100,8298.66257,2283416.371
South/Southwest,4,SW Chicago,37,17,31,301200,17031301200,3012,Census Tract 3012,G5020,S,482206,0,41.8484171,-87.6914771,371,17031301200,17,31,301200,4012,1691,236,34,4,0,1911,136,3642,2071,1941,388,943,276,574,650,472,476,233,27.6,28,27,3992,0,20,1112,3.59,106,64,329,189,53,150,876,3.99,1403,291,315,797,17031301200,301200,17031301200,9327.837589,5190471.244
South/Southwest,4,SW Chicago,38,17,31,301600,17031301600,3016,Census Tract 3016,G5020,S,329517,0,41.8407572,-87.712252,372,17031301600,17,31,301600,4654,2141,42,99,0,0,2219,153,4557,2443,2211,517,1025,326,638,814,498,568,268,27.7,28,27.2,4646,0,8,1202,3.87,82,41,375,230,74,144,1004,4.06,1376,174,458,744,17031301600,301600,17031301600,7993.249861,3546921.419
South/Southwest,4,SW Chicago,39,17,31,310500,17031310500,3105,Census Tract 3105,G5020,S,163307,0,41.8552251,-87.6547525,381,17031310500,17,31,310500,1700,712,46,25,8,0,845,64,1498,889,811,144,309,86,333,297,184,213,134,29.2,29.6,28.9,1694,0,6,559,3.03,84,60,114,99,27,47,347,3.82,656,97,129,430,17031310500,310500,17031310500,6009.827169,1757866.665
South/Southwest,4,SW Chicago,40,17,31,650100,17031650100,6501,Census Tract 6501,G5020,S,673591,0,41.7823762,-87.7178562,581,17031650100,17,31,650100,4816,2683,171,25,32,0,1747,158,4075,2480,2336,415,1105,320,618,787,584,664,323,29.4,29.4,29.5,4812,0,4,1203,4,103,70,399,254,55,104,981,4.36,1293,90,836,367,17031650100,650100,17031650100,10787.62664,7250549.257
South/Southwest,4,SW Chicago,41,17,31,310700,17031310700,3107,Census Tract 3107,G5020,S,160036,0,41.8559903,-87.6649061,383,17031310700,17,31,310700,1692,805,26,36,16,3,740,66,1435,941,751,109,328,113,305,285,200,215,137,29.7,30.7,28.6,1660,0,32,602,2.76,126,58,118,84,25,42,337,3.69,713,111,104,498,17031310700,310700,17031310700,6608.840869,1722652.212
South/Southwest,4,SW Chicago,42,17,31,310800,17031310800,3108,Census Tract 3108,G5020,S,332783,0,41.8559337,-87.6685737,384,17031310800,17,31,310800,4516,2018,107,84,26,0,2123,158,3978,2315,2201,339,972,293,745,776,568,486,337,29.2,29.3,29,4515,0,1,1417,3.19,153,124,316,245,54,145,953,3.82,1641,224,308,1109,17031310800,310800,17031310800,7997.22958,3582113.784
South/Southwest,4,SW Chicago,43,17,31,310900,17031310900,3109,Census Tract 3109,G5020,S,484908,0,41.8557716,-87.6746741,385,17031310900,17,31,310900,5123,2200,105,71,45,0,2531,171,4468,2740,2383,438,1067,350,868,874,611,617,298,28.6,28.3,28.8,5123,0,0,1649,3.11,240,128,390,265,75,154,1102,3.74,1872,223,418,1231,17031310900,310900,17031310900,9166.971788,5219627.626
South/Southwest,4,SW Chicago,44,17,31,660400,17031660400,6604,Census Tract 6604,G5020,S,645648,0,41.7825321,-87.7080441,589,17031660400,17,31,660400,5960,2668,332,64,9,3,2669,215,5239,2966,2994,620,1452,419,829,898,797,659,286,26.7,27,26.3,5960,0,0,1408,4.23,106,113,528,240,74,151,1135,4.62,1514,106,813,595,17031660400,660400,17031660400,10521.00793,6949778.154
